"Literaturnummer";"Fundplatznummer";"Seitenzahl";"Katalognummer"
7402;2928;"92 Abb. 63";"[unter 'Ilbling, Sandgrube']"
7402;2974;;
7409;2653;;
7422;2249;;
7424;1752;;
7425;2341;;
7426;2341;;
7426;2342;;
7430;2961;;
7431;2961;;
7432;2961;;
7433;1749;;
7433;2268;"10 Fn. 12";
7435;2635;"16-18; 20";
7437;2943;;
7440;770;;
7441;2651;"231";"161"
7441;2841;"228";"103"
7441;2843;"229";"112"
7441;2844;"229f.";"115"
7441;2889;"228";"97"
7441;2890;"229";"107"
7441;2892;"230";"124"
7441;2894;"230";"130"
7441;2896;"231";"134"
7441;2897;"231";"138"
7441;2899;"231";"151"
7441;2903;"232";"168"
7441;2935;"228";"106"
7450;1751;;
7455;1713;;
7473;745;;
7474;745;"17f.";
7474;804;"19";
7474;805;"19";
7474;807;"19";
7474;808;"19";
7474;809;"19";
7475;745;"47";"1"
7475;749;"158";
7475;750;"118";"2"
7475;760;"98";"1"
7475;763;"54";"1"
7475;768;"76";"1"
7475;769;"78";"1"
7475;770;"64f.";"1"
7475;775;"131f.";"1"
7475;778;"92";"1"
7475;788;"139f.";"1"
7475;790;"82";"1"
7475;793;"46";"1"
7475;794;"122";"1"
7475;795;"159f.";"9"
7475;798;"83";"1"
7475;800;"89f.";"1"
7475;805;"48f.";"2"
7475;808;"157";"1"
7475;809;"89";"1 ('Dachstadt); 91,1; 97,2 ('Stöckach')"
7475;810;"51f.";"3"
7475;813;"46";"1"
7475;814;"49f.";"1"
7475;815;"51";"1"
7475;816;"51";"2"
7475;817;"82";"3"
7475;818;"83";"1"
7475;820;"77";"1"
7475;821;"49";"3"
7475;823;"156";"1"
7475;824;"62";"1"
7475;825;"57";"1"
7475;826;"60f.";"3"
7475;827;"46";"2"
7475;828;"46";"3"
7475;829;"46";"4"
7475;830;"140";"1"
7475;831;"140f.";"5"
7475;832;"141";"6"
7475;833;"141";"7"
7475;834;"141";"8"
7475;835;"141";"9"
7475;836;"71";"7"
7475;837;"76";"1"
7475;838;"76";"2"
7475;839;"62";"1"
7475;840;"141";"1"
7475;841;"146f.";"1"
7475;843;"133";"3"
7475;844;"66";"1"
7475;845;"77";"4"
7475;846;"84";"1"
7475;847;"64";"1"
7475;849;"132";"2"
7475;850;"132";"3"
7475;851;"131";"1; 132, 4"
7475;852;"133";"1"
7475;853;"81";"4"
7475;854;"138";"1"
7475;855;"144";"14"
7475;856;"134";"5-9"
7475;857;"134f.";"10-12"
7475;859;"135";"13"
7475;860;"144f.";"1-3"
7475;861;"135";"16"
7475;862;"147f.";"5-7"
7475;863;"146";"5"
7475;864;"138";
7475;865;"72";"1"
7475;866;"138";"1"
7475;867;"78";"1"
7475;868;"145";"1"
7475;869;"145";"2"
7475;870;"145";"5"
7475;871;"76";"4"
7475;872;"64";"2"
7475;874;"68";"1"
7475;875;"68";"1"
7475;877;"69";"1"
7475;878;"69";"1"
7475;879;"69";"1"
7475;881;"139";"1"
7475;882;"82";"1"
7475;883;"88";"1"
7475;884;"88";"2"
7475;886;"131";"1"
7475;891;"89";"3"
7475;892;"139";"3"
7475;893;"147";"2"
7475;894;"146";"3"
7475;895;"139";"4"
7475;896;"146";"1"
7475;897;"97";"1"
7475;899;"96f.";"1"
7475;900;"92";"1 [unter 'Kappel-Kemmathen']"
7475;901;"96";"1"
7475;902;"93";"2"
7475;904;"96";"1"
7475;906;"76";"1"
7475;908;"98";"1"
7475;910;"70";"8"
7475;911;"70";"9"
7475;912;"85f.";"1"
7475;914;"115";"1"
7475;915;"111";"1"
7475;916;"110";"1"
7475;917;"111";"3"
7475;919;"124";"6"
7475;920;"117";"1"
7475;921;"151f.";"6"
7475;922;"118f.";"1"
7475;924;"117";"3"
7475;925;"117";"1"
7475;926;"117f.";"1-3"
7475;927;"118";"4"
7475;928;"87";"6"
7475;929;"122";"1"
7475;930;"125";"1-2"
7475;931;"156";"1"
7475;933;"120";"1"
7475;934;"120f.";"2-3"
7475;935;"124f.";"1"
7475;937;"124";"1; 160, 3"
7475;938;"125f.";"2-4"
7475;940;"126";"1"
7475;941;"123";"1"
7475;942;"124";"1"
7475;943;"124";"2"
7475;944;"155";"9"
7475;945;"160";"10"
7475;946;"158";"1-2"
7475;948;"158f.";"3"
7475;949;"159";"4"
7475;950;"159";"7"
7475;951;"160";"1"
7475;952;"124";"2"
7475;953;"160f.";"1-4"
7475;954;"123";"2"
7475;956;"120";"1"
7475;957;"126";"4"
7475;959;"123";"1"
7475;960;"126";"3"
7475;962;"126";"2"
7475;1777;"100f.";
7486;747;;
7487;747;"15";
7487;748;"16";
7487;761;"18";
7487;768;"16";
7487;769;"16";
7487;801;"14";
7487;802;"16";
7487;803;"17";
7487;804;"17";
7487;805;"16";
7488;746;"106ff.";
7489;746;;
7490;746;;
7491;746;"21ff.";
7491;754;"21";
7491;762;"21";
7491;768;"24f.";
7491;804;"26f.";
7491;808;"25";
7491;810;"24";
7491;811;"25";
7492;746;"14; 16f.";
7492;750;"15";
7492;762;"13f.";
7492;764;"14";
7492;794;"167";
7492;805;"14";
7492;806;"15";
7492;819;"14";
7493;746;;
7494;11;"111f.";
7494;140;"83";
7494;746;"106f.";
7494;754;"115";
7494;804;"105";
7494;810;"106";
7494;1274;"35";
7494;1295;"105";
7494;1451;"112";
7494;1543;"112";
7494;1745;"115";
7494;1842;"114";
7494;1843;"115";
7494;1861;"44";
7494;2850;"91";
7494;2941;"94ff.";
7494;2942;"104";
7494;2943;"107";
7494;2944;"107";
7494;2945;"110";
7496;748;"166";
7496;749;"167ff.";
7496;750;"169f.";
7496;751;"170";
7496;754;"165";
7496;765;"166";
7496;768;"166";
7496;793;"165";
7496;794;"167";
7496;795;"169";
7496;800;"165";
7497;749;"17";
7497;750;"19f.";
7497;751;"20f.";
7497;768;"17";
7497;769;"17";
7497;783;"16";
7497;795;"18";
7497;796;"16";
7497;797;"18";
7497;798;"18f.";
7497;799;"20";
7497;800;"16";
7498;749;;
7499;749;;
7500;750;"64ff.";
7500;751;"64";
7501;749;"5ff.";
7501;795;"39ff.";
7501;829;"42f.";
7501;933;"32f.";
7501;934;"32f.";
7501;938;"29f.";
7501;957;"34";
7501;959;"44f.";
7501;962;"44";
7510;751;;
7512;754;"20";
7512;755;"21";
7512;756;"21";
7512;757;"21-24";
7512;759;"25";
7512;760;"25";
7512;761;"25";
7512;789;"24f.";
7513;763;;
7513;821;"97f.";
7514;765;"16";
7514;766;"17";
7514;773;"17";
7514;805;"16f.";
7515;805;"133f.";
7516;768;"16";
7516;769;"16";
7516;770;"16f.";
7516;771;"19";
7516;772;"19f.";
7516;773;"20";
7516;805;"17f.";
7518;770;"7ff.";
7518;867;"23ff.";
7519;770;;
7520;760;"26";
7520;774;"21";
7520;775;"21";
7520;776;"21";
7520;777;"21";
7520;778;"21";
7520;779;"23";
7520;780;"23";
7520;781;"23";
7520;782;"23";
7522;749;"25";
7522;770;"23-25";
7522;782;"25f.";
7522;783;"22";
7522;784;"22";
7522;785;"22";
7522;786;"22";
7522;787;"23";
7522;788;"25";
7522;789;"25";
7522;790;"25";
7522;791;"26";
7522;792;"26";
7523;754;"245";
7523;2247;"246";
7523;2789;"246";"[unter 'Großmehring']"
7523;2814;"249";"[unter 'Ziegelstadel']"
7523;2889;"251";
7523;2931;"247";
7525;754;"420ff.";
7526;754;"266";
7526;797;"266";
7526;1453;"266";
7526;1843;"266";
7528;794;"77";"52"
7528;919;"101f.";"90"
7528;929;"131f.";"143"
7528;930;"109";"98"
7528;933;"73ff.";"46"
7528;934;"73";"46B"
7528;935;"83f.";"60"
7528;937;"107ff.";"97"
7528;938;"112ff.";"106"
7528;939;"117";"112"
7528;940;"118";"115"
7528;941;"87";"69"
7528;942;"105ff.";"95"
7528;954;"92ff.";"83"
7528;955;"62";"25"
7528;956;"67f.";"42"
7528;957;"122";"122"
7528;958;"122f.";"123"
7528;959;"91";"81"
7528;960;"121f.";"121"
7528;961;"125f.";"128"
7528;962;"124f.";"126"
7530;800;"38f.";
7531;803;;
7532;804;;
7534;807;"151ff.";
7535;821;"35ff.";
7536;837;"255f.";
7536;838;"255f.";
7536;956;"256ff.";
7537;843;"136ff.";
7537;1770;"140ff.";"7146"
7537;2301;"125ff.";
7537;2315;"121ff.";
7538;809;;
7538;899;"47ff.";
7538;1807;"64ff.";
7540;868;;
7541;869;"148f.";
7542;872;"6";
7543;807;"133";
7543;873;"134";
7543;874;"134";
7543;875;"123f. 135";
7543;877;"124; 137";
7543;2924;"136";
7544;874;;
7546;876;"276ff.";"[unter 'Seßlach-Dietersdorf']"
7547;882;;
7548;889;"103";
7550;760;;
7551;898;"109";
7551;2636;"104";
7552;900;;
7552;1750;"40; 50";
7552;2648;;
7555;905;;
7556;907;"429";"7"
7557;748;"245";
7557;913;"245";
7557;1322;"245";
7557;1843;"245";
7558;915;;
7559;915;;
7561;816;"186";
7561;916;"192";
7561;919;"194";"[unter 'Neudorf-Zultenberg']"
7561;1266;"192";
7561;1285;"194";
7561;1375;"195";
7561;1468;"194";
7561;1795;"195";
7561;2027;"195";
7561;2789;"194";"[unter 'Großmehring']"
7561;2824;"195";
7561;2932;"192";
7561;2933;"173";
7562;917;"21f.";
7566;764;"4";
7566;770;"3f.";
7571;2788;"77ff.";
7572;1806;"188ff.";
7572;1829;"270ff.";
7573;2301;"35";
7573;2315;"35 Abb. 2";
7923;659;;
8011;2060;;
8012;2060;;
8093;2060;;
8094;2060;;
8207;2895;;
8237;2212;;
8425;1254;"178f.";
8428;770;"232";
8428;793;"223";
8428;800;"228";
8428;812;"224";"[unter 'Daschendorf-Forst']"
8428;821;"227";"[unter 'Geisberg-Forst']"
8428;891;"227";
8428;1316;"144ff.";
8428;1488;"226";
8428;1520;"229";
8428;1550;"354";
8428;1603;"231f.";
8428;1705;"231";
8428;1792;"226";
8428;2031;"223f.";
8428;2255;"235";
8428;2637;"234";
8428;2760;"228";
8428;2772;"227";
8428;2789;"228";"[unter 'Großmehring']"
8428;2813;"233f.";
8428;2887;"223";
8429;802;"158";
8429;1258;"153";
8429;1435;"263";
8429;1465;"160";
8429;1485;"169";
8429;1592;"153f.";
8429;1680;"159f.";
8429;1722;"161ff.";
8429;1768;"154";
8429;2247;"157";
8429;2263;"158f.";
8429;2298;"153";
8429;2366;"153";
8429;2740;"259";
8429;2921;"169";
8429;2929;"136";
8430;779;"169";
8430;802;"168";
8430;905;"154";
8430;912;"170";
8430;1266;"163";
8430;1316;"159";
8430;1398;"154";
8430;1581;"196";
8430;1592;"159ff.";
8430;1619;"163";"[unter 'Eulenhof']"
8430;1716;"167f.";
8430;2059;"163f.";
8430;2740;"165ff.";
8430;2884;"170";
8430;2924;"169f.";
8431;916;"213";
8431;1266;"214";
8431;1303;"192; 215";
8431;1583;"214";
8431;1704;"218";
8431;2247;"217f.";
8431;2925;"216";
8431;2926;"216f.";
8431;2927;"217";
8431;2928;"205";
8431;2929;"218";
8431;2930;"218";
8432;936;"285";
8432;1581;"303";
8432;1586;"284";
8432;1623;"286";
8432;1780;"284f.";
8432;2060;"285";
8434;106;"223";"[unter 'Wehringen']"
8434;802;"218";"[wohl irrtümlich 'w. des Kanals']"
8434;875;"220f.";
8434;1341;"216";
8434;1448;"222";"[unter 'Schwarzenau']"
8434;1456;"222";
8434;1464;"223";
8434;1467;"216";
8434;1468;"216";
8434;1645;"277";
8434;1656;"218f.";
8434;1780;"215";
8434;1782;"219";
8434;1813;"222";
8434;1832;"215";
8434;2060;"222";
8434;2737;"223ff.";
8434;2789;"215";"[unter 'Großmehring']"
8434;2892;"221";
8435;1477;;
8436;754;"161";
8436;807;"165";
8436;962;"221";
8436;1306;"163f.";
8436;1454;"168";
8436;1571;"166";
8436;1580;"168";
8436;1581;"168";
8436;1638;"163";
8436;1655;"166";
8436;1656;"166";
8436;1686;"169; 212";
8436;1714;"163";
8436;1752;"163";
8436;1843;"166";
8436;2022;"163; 166";
8436;2027;"168";
8436;2065;"166";
8436;2790;"167";
8436;2889;"161";
8436;2897;"169";
8436;2926;"164";
8436;2934;"161ff.";
8436;2935;"167";
8436;2936;"125";
8436;3061;"163";
8437;768;"113";
8437;811;"118";
8437;1273;"141";
8437;1385;"115f.";
8437;1472;"118";
8437;1580;"121; 195";
8437;1597;"90; 118 mit Abb. 54,1-2; 70,8";
8437;1604;"116";
8437;1634;"83ff. 116";
8437;1710;"105";
8437;1724;"121";
8437;1745;"122ff.";
8437;1842;"121";
8437;1843;"121";
8437;1861;"116";
8437;2634;"92f.";
8437;2635;"116";
8437;2742;"108";
8437;2794;"118";
8437;2799;"118";
8437;2897;"118 mit Abb. 79";
8437;2937;"108";
8437;2938;"110";
8437;2939;"121";
8437;2940;"124";
8439;11;"60f.";
8439;746;"53f. 65ff.";
8439;750;"62";
8439;805;"55";"[unter 'Litzendorf']"
8439;819;"55";
8439;1273;"52";
8439;1651;"52";
8439;1749;"41f.";"[unter 'Riedenburg']"
8439;1751;"59f.";
8439;2894;"52";
8439;2895;"52";
8439;2897;"59";
8439;2899;"52";
8439;2942;"53";
8439;2946;"62";
8439;2947;"62";
8440;11;"109";
8440;762;"99ff.";
8440;764;"106";
8440;806;"104";
8440;1270;"107";
8440;1372;"161";
8440;1500;"107; 33 Abb.21,12; 79 Abb.47,1; 101 Abb.62,2.";
8440;1566;"80";
8440;1605;"39";
8440;1636;"104";
8440;2137;"107";
8440;2341;"95f. mit Taf. 1,2";
8440;2895;"96";
8440;2897;"107";
8440;2899;"96";
8440;2937;"96";
8440;2940;"110";
8440;2943;"106";
8441;11;"91";
8441;140;"71";
8441;805;"90";
8441;1261;"91";
8441;1270;"91";
8441;1368;"55";
8441;1372;"78";
8441;1566;"68";
8441;1642;"91";
8441;1652;"80";
8441;1690;"90";
8441;1749;"61f.";"[unter 'Riedenburg']"
8441;1754;"6";
8441;2222;"88ff.";
8441;2341;"78ff.";
8441;2899;"80";
8441;2939;"91";
8441;2948;"80ff.";
8441;2951;"92";
8442;11;"94";
8442;140;"80f.";
8442;765;"94";
8442;766;"95";
8442;768;"88";
8442;773;"94";
8442;805;"110";
8442;956;"95";
8442;1261;"92f.";
8442;1372;"87";
8442;1387;"90";
8442;1840;"88ff.";
8442;2152;"92";
8442;2341;"87";
8442;2897;"93f.";
8442;2899;"87";
8442;2952;"143";
8442;2953;"88";
8442;2954;"94";
8442;2955;"95";
8442;2956;"95";
8443;749;;
8443;1254;"164";"1"
8443;1255;"164f.";"2"
8443;1256;"164";"1"
8443;1258;"153";"1"
8443;1264;"164";"3"
8443;1265;"165";"2"
8443;1267;"153";"2"
8443;1269;"157";"1"
8443;1272;"153; 156";"1.3"
8443;1275;"155";"1"
8443;1277;"163";"4"
8443;1280;"159";"1"
8443;1285;"80";"2"
8443;1286;"80f.";"3"
8443;1288;"78";"1"
8443;1290;"77";"1"
8443;1294;"159";"1"
8443;1295;"155";"1"
8443;1300;"166";"1"
8443;1301;"93";"1"
8443;1302;"75";"1"
8443;1303;"75";"2"
8443;1304;"79";"2"
8443;1305;"87";"1"
8443;1306;"75f.";"1"
8443;1307;"81f.";"1"
8443;1309;"82";"1"
8443;1310;"75";"2"
8443;1312;"178";"1"
8443;1313;"174";"2"
8443;1315;"60";"1"
8443;1318;"64";"3"
8443;1321;"61";"1"
8443;1322;"64";"1"
8443;1324;"62";"1"
8443;1325;"61; 68; 70";
8443;1326;"86";"3.4"
8443;1327;"124";"1"
8443;1328;"119";"3"
8443;1332;"175";"2"
8443;1333;"175";"2"
8443;1334;"173";"1"
8443;1335;"173";"2"
8443;1336;"179";"1"
8443;1337;"182";"2"
8443;1338;"178f.";"1"
8443;1339;"57";"1"
8443;1341;"173";"1"
8443;1344;"173";"1"
8443;1345;"176";"1"
8443;1348;"177";"2"
8443;1350;"55";"3"
8443;1352;"55";"1"
8443;1354;"62";"1"
8443;1359;"149";"2-4"
8443;1360;"126f.";"1"
8443;1361;"125";"1"
8443;1364;"123f.";"1"
8443;1365;"127";"3"
8443;1366;"127f.";"7"
8443;1373;"192";"1"
8443;1375;"181f.";"1"
8443;1378;"187";"2"
8443;1383;"174";"2"
8443;1384;"179";"4"
8443;1389;"92";"1"
8443;1390;"99";"2"
8443;1392;"89";"1"
8443;1393;"66";"3"
8443;1394;"70";"1"
8443;1397;"131";"1"
8443;1398;"131f.";"2"
8443;1400;"140";"1"
8443;1403;"130";"1"
8443;1404;"130";"3"
8443;1405;"135; 145f.";"7; 2"
8443;1406;"146";"4.3"
8443;1407;"146; 148";"5.6"
8443;1408;"146";"1"
8443;1409;"148";"2"
8443;1410;"148";"4.5"
8443;1411;"148";"7"
8443;1412;"137";"1"
8443;1413;"132";"1"
8443;1414;"135";"2"
8443;1415;"135f.";"3"
8443;1417;"134";"1"
8443;1418;"134";"2"
8443;1419;"132";"1"
8443;1424;"116";"5"
8443;1425;"196";"2"
8443;1426;"204";"3"
8443;1435;"199";"1"
8443;1440;"188";"2"
8443;1441;"195";"1"
8443;1448;"103f.";"1"
8443;1451;"105";"1"
8443;1452;"113";"1"
8443;1455;"104";"1"
8443;1463;"144";"1"
8443;1464;"126";"3"
8443;1465;"195";"1"
8443;1468;"193";"1"
8443;1474;"197f.";"4"
8443;1475;"203";"1"
8443;1476;"205";"1"
8443;1477;"191";"7"
8443;1479;"195";"1"
8443;1480;"107; 111";
8443;1481;"101";"3"
8443;1485;"205";"1"
8443;1488;"108";"7"
8443;1489;"108";"6"
8443;1490;"108f.";"8"
8443;1492;"108";"2 (unter Kitzingen)"
8443;1493;"108";"3 (unter Kitzingen)"
8443;1494;"108";"4 (unter Kitzingen)"
8443;1496;"109";"1"
8443;1505;"184";"1"
8443;1508;"202";"1"
8443;1509;"188";"1"
8443;1510;"191f.";"14"
8443;1519;"194";"1"
8443;1520;"203";"1"
8443;1523;"200";"1"
8443;1534;"186";"4"
8443;1535;"189";"1"
8443;1536;"199";"4"
8443;1537;"201";"2"
8443;1538;"201";"4"
8443;1539;"184";"1"
8443;1540;"185";"2"
8443;1543;"184";"2"
8443;1544;"199f.";"1"
8443;2348;"55";"4"
8443;2404;"64";"3"
8443;2406;"78";"3"
8443;2408;"108";"1"
8443;2475;"178";"1"
8443;2524;"201";"3"
8443;2525;"204";"2"
8443;2533;"117";"4"
8443;2535;"107";"1"
8443;2537;"197";"1-3"
8443;2539;"132f.";"1"
8443;2542;"188";"1"
8443;2543;"197";"2"
8443;3038;"141";"1"
8443;3056;"84";"1"
8443;3097;"182";"1"
8444;823;"15";"10"
8444;1264;"30";"41"
8444;1266;"14";"8"
8444;1267;"29f.";"40"
8444;1269;"14f.";"9"
8444;1290;"10";"5"
8444;1302;"19f.";
8444;1303;"19f.";"13.14"
8444;1304;"20";"15"
8444;1305;"21";"19"
8444;1307;"20f.";"16"
8444;1309;"10ff.";"6"
8444;1310;"10";"4"
8444;1312;"47";"63"
8444;1313;"46f.";"62"
8444;1326;"22";"22"
8444;1327;"16ff.";"12"
8444;1336;"21";"17"
8444;1337;"50";"65"
8444;1338;"47ff.";"64"
8444;1354;"7ff.";
8444;1360;"23f.";"26"
8444;1364;"23";"25"
8444;1365;"24f.";"27"
8444;1378;"22f.";"23"
8444;1392;"21";"20"
8444;1393;"31ff.";"43"
8444;1410;"33";"45"
8444;1426;"58f.";"77"
8444;1435;"57";"73"
8444;1440;"52ff.";"68"
8444;1441;"57";"71"
8444;1448;"25f.";"29,1"
8444;1451;"26";"30"
8444;1464;"29";"39"
8444;1465;"29";"38"
8444;1475;"58";"76"
8444;1476;"60f.";"81"
8444;1479;"43";"56"
8444;1485;"46";"60"
8444;1490;"27";"2"
8444;1493;"26f.";"1"
8444;1496;"26";"31"
8444;1497;"27f.";"33"
8444;1505;"34ff.";"46"
8444;1508;"57f.";"74"
8444;1509;"41";"52"
8444;1510;"56f.";"70"
8444;1523;"44f.";"58"
8444;1534;"40";"49"
8444;1535;"41f.";"54"
8444;1539;"37";"47"
8444;1540;"37ff.";"48"
8444;1544;"43f.";"57"
8444;1791;"50ff.";"67"
8444;1792;"50ff.";"67"
8444;2405;"22";"21"
8444;2526;"25";"28"
8444;2527;"41";"51"
8444;2528;"59f.";"79,1"
8444;2529;"60";"80,2"
8444;2537;"28";"35"
8445;1350;"230f., 311f., 354.";
8445;1351;"273 Ziff.1b.";
8446;1270;;
8448;1399;"141ff.";
8448;1515;"126";
8451;1269;"56 u. 97.";
8451;1272;"117f.";
8451;1302;"94; 119";
8451;1303;"42f. u. 94f.";
8451;1305;"106";
8451;1338;;
8451;1354;"54f., 130f.";
8451;1364;;
8451;1393;"70f., 99, 137f.";
8451;1436;"141";
8451;1486;"23 u.53f.";
8451;1507;"121";
8451;1539;"118.";
8451;1544;"100f.";
8451;2524;"103";
8452;1285;"286";
8452;1762;"286";
8452;2936;"284";
8453;807;"236";
8453;918;"229";
8453;1306;"232ff.";
8453;1343;"236";
8453;3037;"236";
8453;3038;"236";
8454;887;"242";
8454;1258;"242";
8454;1277;"242";
8454;1346;"242";
8454;1481;"242";
8454;3039;"242";
8454;3040;"242";
8455;748;"246";
8455;795;"246";
8455;797;"246ff.";
8455;1322;"242ff.";
8456;141;"270";
8456;748;"269";
8456;802;"270";
8456;1380;"270";"[unter 'Gernach']"
8456;1436;"270";
8456;1452;"270";
8456;1513;"269f.";
8456;3041;"270";
8457;141;"266";
8457;814;"268";
8457;1379;"266";
8457;1383;"266";
8457;3043;"266";
8458;141;"276f. 279";
8458;918;"273f.";
8458;1264;"277";
8458;1277;"278";
8458;1383;"278";
8458;1416;"278";
8459;141;"281";
8459;749;"281";
8459;750;"284";
8459;802;"282";
8459;1277;"281f.";
8459;1322;"279f.";
8459;1449;"282";
8459;1482;"272";
8460;1348;"220";
8460;1376;"220";
8460;1442;"220ff.";
8461;1254;"420ff.";
8461;1255;"420ff.";
8462;1357;;
8465;1385;;
8466;1273;;
8467;1480;"50";"201"
8467;1481;"18 Nr. 24, 25.";
8467;1483;"18f. Nr. 26.";
8470;1453;;
8472;1258;"331f. Nr.78100.";
8472;1265;"336 Nr.78119.";
8472;1273;"302 Nr.783.; 331 Nr.7899 u. 337ff.";
8472;1277;"335 Nr.78115 u. 337ff.";
8472;1287;"332 Nr.78101.";
8472;1309;"334 Nr.78112.";
8472;1376;"337 Nr.78123, 351 Nr.78147.";
8472;1486;"306 Nr.7820.";
8472;1536;"334f. Nr.78113.";
8473;1521;;
8474;1258;"119 Nr.80128.";
8474;1265;"128 Nr.80148.";
8474;1277;"126 Nr.80145.";
8474;1279;"128 Nr.80153.";
8474;1284;"122 Nr.80141.";
8474;1423;"83 Nr.808, 110 Nr.80104, 119 Nr.80129.";
8474;1477;"122";"80136"
8474;1486;"122 Nr.80134, 133 Nr.80170.";
8474;1488;"119f.";"80131"
8474;1521;"100 Nr.8071, 102f. Nr.8075.";
8474;1536;"122f. Nr.80143.";
8475;1274;;
8476;1274;"238ff.";
8476;1275;"225ff.";
8476;1480;"248";
8476;1536;"249";
8476;1840;"250";
8477;1255;"373 Nr.82217";
8477;1256;"373 Nr.82217.";
8477;1268;"368 Nr.82199.";
8477;1423;"320 Nr.8229, 358 Nr.82168.";
8477;1486;"306 Nr.824, 354 Nr.78155.";
8477;1520;"354 Nr.82144.";
8478;1274;;
8481;1319;"122f.";"Ziff. 23 u. 25"
8481;1393;"127ff.";
8481;1489;;
8481;1539;"202";"228"
8512;1751;"273-275";
8512;1752;"271ff.";
8513;2264;;
8514;1843;;
8515;2343;;
8519;1881;;
8521;1750;;
8523;2060;;
8526;1752;;"1-28"
8579;1753;"113ff.";
8579;1754;"118ff.";
8601;707;;
8608;1756;;
8608;1780;;
8609;1758;"211ff.";
8610;1759;"146ff.";"[unter 'Steinbach']"
8610;1760;"141ff.";
8611;1761;"120f.";
8611;1764;"115f.";
8612;1763;"102";
8616;1769;;
8617;1769;;
8618;1773;;
8619;1774;;
8620;1774;;
8621;1778;;
8622;1778;;
8623;1780;;
8625;1780;"272ff.";
8626;1799;;
8627;901;"233ff.";
8627;954;"236f.";
8627;1781;"204f.";
8627;1800;"217";
8627;1801;"217ff.";
8627;1809;"209ff.";
8627;1817;"200ff.";
8627;2077;"224ff.";
8628;1804;;
8629;1805;;
8630;1805;;
8631;1806;;
8632;1811;;
8633;793;"262f.";
8633;1290;"265";
8633;1477;"265";
8633;1486;"265";
8633;1492;"265f.";
8633;1505;"262";"[unter 'Acholshausen']"
8633;1545;"262";
8633;1557;"243; 263; 268";
8633;1592;"263";
8633;1596;"265";
8633;1797;"266";
8633;1811;"247; 267";
8633;2031;"263";
8634;1813;;
8635;1840;"73ff.";
8635;2304;"220ff.";
8636;1840;;
8637;1844;;
8638;1850;"22ff.";
8638;1867;"6ff.";
8639;1853;"21ff.";
8640;1859;"4ff.";
8641;1864;;
8648;17;"21f. 53";
8648;20;"36";
8648;504;"19ff.";
8648;521;"9f.";
8648;522;"36";
8648;523;"9";
8648;527;"27f.";
8648;573;"44ff.";
8648;583;"15f.";
8648;584;"29f.";
8648;585;"14f.";
8648;714;"16ff.";
8648;1917;"36";
8648;2465;"13f. 37ff.";
8649;20;"26";
8649;139;"51";
8649;504;"25; 41f.";
8649;516;"39";
8649;521;"55f.";
8649;544;"29ff.";
8649;545;"33ff.";
8649;559;"50f.";
8649;573;"25";
8649;583;"59";
8649;584;"58f.";
8649;585;"24";
8649;591;"38";"(unter Fundort 'Lackingen)"
8649;597;"52ff.";
8649;611;"51";
8649;615;"28f.";
8649;637;"55";
8649;639;"26";
8649;650;"28";
8649;677;"25";
8649;689;"37";
8649;691;"51f.";
8649;714;"49";
8649;732;"36";"(unter FO 'Holzgerlingen')"
8649;742;"37f.";
8649;1917;"56";
8649;1927;"26";
8649;1979;"22";
8649;2387;"27";
8649;2502;"55f.";
8649;2503;"56";
8653;547;"45 (20?)";"1 (5?)"
8653;1548;"16";
8653;1549;"43";"2"
8653;1559;"23";"3"
8653;1582;"14";"1"
8653;1590;"20";"4"
8653;1592;"13";"1"
8653;1593;"20";"1"
8653;1594;"21";"1"
8653;1595;"13";"3"
8653;1596;"29";"1"
8653;1598;"33";"1"
8653;1599;"43";"1"
8653;1600;"26f.";
8653;1603;"38";"2"
8653;1605;"38";"3"
8653;1606;"38f.";"4f."
8653;1607;"46";"1"
8653;1619;"48";"Nr. 1"
8653;1620;"31";"Nr. 1"
8653;1622;"20";"Nr. 1"
8653;1914;"50";"17"
8654;1890;"143";"8"
8654;1891;"156ff.";
8654;2384;"137f.";
8654;2394;"124";"2"
8654;2395;"146";"4"
8654;3073;"136";"6"
8658;531;;
8659;2625;"32f.";
8667;642;;
8667;3049;"53ff.";"Grab XX"
8667;3050;"57ff.";"Grab XXII-XIII"
8669;667;"19f.";
8669;668;"15f.";
8669;2236;"19f. 59";
8669;2684;"17";
8670;1992;;
8673;501;"35";"7"
8673;512;"27";"2"
8673;513;"24";"1"
8673;514;"24";"3"
8673;541;"21f.";"1"
8673;542;"20";"1"
8673;544;"16f.";"4"
8673;545;"16";"3"
8673;607;"9";"1"
8673;609;"11f.";"2"
8673;610;"12";"2"
8673;625;"15";"11"
8673;629;"26";"1"
8673;630;"35f.";"1-3"
8673;631;"37";"1"
8673;654;"17";"1"
8673;656;"20";"1"
8673;657;"21";"2"
8673;685;"8";"1"
8673;697;"25f.";"6"
8673;698;"25";"5"
8673;699;"28";"1"
8673;732;"22";"1"
8673;1884;"23";"4"
8673;1892;"22";"1"
8673;1979;"13";"2"
8673;2422;"18f.";"1"
8673;2423;"13";"1"
8673;2495;"25";"2"
8674;2022;;"[unter 'Burggriesbach']"
8675;580;;
8676;11;"130";"4 [unter 'Eggersberg-Oberhofen']"
8676;2259;"127";"2"
8676;2263;"157";"1"
8676;2264;"167";"1"
8676;2288;"179";"1; 2"
