"Fundplatz";"Ausgrabungqualität";"Ausgrabungsjahr";"Ausgräber"
595;3;1895;1
596;3;1832;705
596;3;1893;33
597;2;1954;2
597;2;1955;2
597;2;1956;2
597;2;1957;2
597;2;1958;2
597;2;1959;2
597;2;1960;2
597;2;1961;2
597;2;1962;2
597;2;1963;2
597;2;1978;2
597;2;1979;2
597;2;1980;2
597;2;1981;2
597;2;1982;2
597;2;1988;2
597;2;1989;2
597;3;1877;43
598;1;1951;2
599;3;1897;37
600;3;1874;703
601;3;1867;1
601;3;1868;704
602;3;1840;1
602;3;1866;1
602;3;1868;704
602;3;1872;704
603;3;1854;80
604;3;1833;80
604;3;1882;50
606;2;1934;32
606;2;1937;32
607;3;1873;43
607;3;1900;1
608;4;1926;1
609;3;1820;1
609;3;1821;1
610;2;1928;2
610;2;1969;2
610;2;1970;2
610;5;1936;1
611;3;1891;408
612;2;1964;2
612;2;1965;2
614;2;1963;2
615;2;1951;2
615;2;1952;2
615;3;1887;43
615;3;1887;583
616;3;1921;500
616;3;1922;500
617;2;1974;2
617;3;1862;499
618;4;1897;1
619;3;1880;1
620;3;1891;407
620;3;1892;496
621;3;1858;1
621;3;1885;40
621;3;1908;495
621;3;1909;495
622;3;1884;40
623;2;1967;2
625;2;1966;2
625;2;1967;2
625;2;1968;2
625;2;1969;2
625;2;1970;2
625;2;1971;2
625;2;1980;2
625;3;1822;43
625;3;1836;43
626;3;1854;345
626;3;1903;495
627;4;1965;1
628;2;1983;2
628;2;1984;2
628;2;1985;2
628;2;1986;2
628;2;1987;2
628;2;1988;2
628;2;1989;2
628;2;1990;2
628;3;1840;463
628;3;1893;37
628;3;1893;273
629;4;1904;1
630;2;1971;2
630;2;1974;2
631;3;1908;162
632;3;1892;33
633;2;1996;2
633;2;1997;2
633;3;1900;37
634;2;1976;2
634;2;1977;2
634;2;1981;2
634;2;1982;2
634;2;1983;2
634;2;1984;2
634;3;1896;37
635;2;1975;2
635;3;1841;434
635;3;1896;1
636;2;1929;2
636;3;1887;40
636;3;1911;407
637;3;1877;415
637;3;1908;36
637;3;1908;414
638;3;1827;590
638;3;1912;414
639;3;1884;1
639;3;1890;70
640;3;1909;1
640;3;1928;591
641;3;1934;1
642;3;1901;693
642;3;1909;693
643;3;1890;37
644;3;1889;263
644;3;1895;37
645;4;1926;1
645;4;1931;1
645;4;1936;1
645;4;1955;1
645;4;1956;1
646;2;1953;2
646;3;1834;76
646;3;1835;76
646;3;1897;75
646;3;1901;38
647;4;1935;1
648;2;1957;2
649;4;1949;1
650;3;1877;1
650;3;1926;1
650;4;1927;1
651;3;1898;342
651;3;1903;342
653;2;1938;2
654;3;1895;1
655;3;1840;1
656;2;1975;2
656;3;1926;667
657;3;1850;43
657;3;1882;40
658;4;1848;1
659;1;1970;2
659;1;1971;2
659;1;1972;2
659;1;1973;2
659;3;1887;48
659;3;1890;47
659;3;1890;48
660;3;1865;86
661;3;1949;371
662;3;1850;1
663;4;1948;1
664;2;1984;2
664;3;1860;345
665;2;1964;2
665;2;1965;2
665;2;1966;2
665;2;1967;2
665;3;1885;40
666;3;1902;223
666;3;1903;223
666;3;1904;223
667;3;1893;264
667;3;1906;223
667;3;1907;223
668;2;1967;2
668;3;1847;1
668;3;1900;224
668;3;1902;223
668;5;1967;1
671;3;1884;40
672;3;1900;215
673;3;1854;80
673;3;1896;37
676;2;1970;2
677;3;1891;144
678;4;1927;1
680;3;1865;80
680;3;1871;80
680;3;1881;615
681;3;1882;1
681;3;1923;164
683;3;1832;80
683;3;1850;1
683;3;1855;1
683;4;1939;1
685;3;1864;43
685;5;1934;1
685;5;1954;1
686;4;1909;1
687;4;1932;1
688;2;1987;2
689;3;1884;40
689;3;1884;425
689;3;1888;1
690;3;1846;1
691;3;1891;73
692;3;1892;408
692;3;1936;74
692;3;1958;625
693;3;1860;1
693;3;1891;408
693;3;1936;63
694;3;1932;576
694;3;1933;576
696;4;1927;1
696;4;1935;1
698;2;1936;400
698;2;1936;401
699;2;1957;2
700;3;1894;37
701;3;1854;80
702;3;1867;284
703;3;1836;1
703;3;1884;40
703;3;1885;40
706;2;1951;2
706;2;1999;2
707;2;1978;2
707;2;1979;2
707;2;1998;2
707;2;1999;2
708;3;1905;342
709;2;1959;1
710;4;1902;1
711;3;1904;36
712;3;1904;36
714;2;1968;2
714;3;1884;40
714;3;1884;606
714;3;1899;37
715;3;1901;37
716;3;1901;36
717;3;1895;607
718;3;1901;36
718;3;1902;36
719;3;1856;80
719;3;1857;80
719;3;1874;80
720;4;1909;1
721;3;1830;572
721;4;1929;1
722;4;1930;1
723;4;1922;1
725;4;1930;1
727;3;1894;37
728;3;1830;679
728;3;1894;37
729;4;1905;1
730;4;1925;1
732;3;1859;43
733;3;1927;1
734;3;1900;224
734;3;1900;605
734;3;1904;1
736;4;1898;1
737;4;1930;1
739;3;1862;80
739;3;1865;80
739;3;1866;80
740;3;1948;471
742;3;1884;425
742;3;1884;624
743;2;1957;2
743;2;1958;340
743;2;1967;2
743;2;1968;2
743;2;1969;2
744;4;1933;1
745;2;1983;2
745;3;1827;501
745;3;1827;502
746;2;1986;2
746;2;1987;2
746;2;1988;2
747;2;1981;2
747;2;1982;2
747;4;1978;1
748;2;1968;2
748;2;1969;2
748;2;1970;2
748;2;1971;2
748;2;1972;2
748;2;1981;2
749;2;1975;2
749;2;1978;2
749;3;1850;503
749;4;1995;1
750;2;1934;260
750;2;1977;2
750;2;1978;2
750;2;1979;2
750;3;1828;502
750;4;1987;1
751;2;1978;2
751;2;1979;2
751;2;1980;2
753;2;1984;2
753;2;1985;2
753;2;1986;2
753;2;1987;2
753;2;1988;2
753;2;1989;2
753;2;1994;2
753;2;1995;2
754;2;1997;2
754;2;2000;2
754;4;1960;1
754;4;1965;1
754;4;1967;1
754;4;1986;1
755;2;1997;2
756;4;1998;1
757;2;1997;2
759;2;1997;2
760;2;2000;2
760;2;2001;2
760;3;1862;504
760;4;1996;1
760;4;1998;1
761;4;1981;1
761;4;1997;1
762;2;1988;2
762;4;1927;1
762;4;1986;1
763;3;1863;505
764;3;1940;1
765;4;1978;1
765;4;1990;1
