"Fundplatz";"Ausgrabungqualität";"Ausgrabungsjahr";"Ausgräber"
1560;3;1939;472
1561;2;1992;154
1561;2;1993;154
1561;4;1965;1
1562;2;1936;2
1562;2;1970;2
1562;3;1887;459
1563;4;1970;1
1564;3;1827;1
1564;4;1839;1
1565;3;1887;218
1565;3;1887;372
1566;2;1988;2
1566;2;1989;2
1566;4;1987;1
1567;3;1878;1
1567;4;1882;1
1571;3;1829;1
1571;4;1967;1
1572;3;1896;81
1573;4;1979;2
1573;4;1982;1
1573;4;1983;1
1574;3;1882;81
1574;3;1883;81
1574;3;1884;167
1574;3;1903;535
1574;5;1909;1
1574;5;1975;1
1574;5;1977;1
1575;3;1894;1
1576;3;1888;81
1576;3;1896;81
1577;3;1889;218
1577;3;1896;81
1578;3;1896;81
1578;3;1897;81
1578;3;1898;217
1578;4;1927;1
1579;4;1995;1
1579;5;1972;1
1580;2;1981;2
1580;2;1982;2
1580;2;1985;2
1580;2;1992;2
1580;2;1994;2
1580;3;1895;81
1581;4;1957;2
1581;4;1959;2
1581;4;1970;2
1582;2;1926;53
1583;4;1958;1
1584;2;1972;2
1585;3;1901;439
1586;2;1959;440
1587;2;1959;440
1587;2;1971;2
1587;2;1972;2
1588;3;1901;439
1589;2;1959;440
1590;2;1922;53
1590;2;1923;53
1590;2;1924;53
1590;2;1925;53
1590;2;1926;53
1590;2;1929;53
1592;2;1924;53
1592;2;1937;53
1592;2;1955;2
1592;2;1957;2
1592;2;1978;1
1592;2;1979;1
1592;3;1910;1
1592;4;1948;1
1593;4;1937;53
1594;2;1932;53
1595;3;1898;97
1595;3;1898;394
1596;3;1800;1
1596;3;1836;1
1596;3;1891;1
1596;4;1948;1
1596;5;1980;1
1597;2;1985;2
1599;2;1931;53
1600;2;1973;2
1603;2;1950;2
1603;5;1949;1
1603;5;1950;1
1604;4;1985;1
1605;2;1920;53
1606;2;1925;53
1607;2;1927;53
1609;4;1979;1
1610;4;1991;1
1611;4;1980;1
1612;2;1982;2
1612;2;1983;2
1612;2;1984;2
1612;4;1975;1
1613;3;1834;1
1613;3;1919;1
1614;2;1980;2
1614;2;1981;2
1615;3;1836;1
1615;5;1936;1
1619;3;1895;45
1619;3;1909;54
1619;3;1911;54
1619;3;1957;20
1619;4;1956;1
1620;3;1930;53
1622;3;1938;53
1623;4;1960;1
1623;4;1962;1
1624;3;1910;1
1625;4;1988;1
1626;2;1993;154
1626;2;1996;2
1628;3;1935;472
1629;3;1902;309
1629;3;1902;697
1629;3;1935;472
1629;3;1935;627
1631;3;1853;1
1631;3;1893;588
1632;2;1990;154
1632;3;1893;459
1633;3;1901;309
1633;3;1901;697
1633;3;1904;698
1634;2;1980;2
1634;2;1984;2
1634;2;1985;2
1634;2;1991;2
1635;2;1970;2
1635;3;1827;308
1635;3;1859;1
1636;2;1988;154
1637;3;1857;1
1637;3;1893;1
1638;2;1967;2
1638;3;1914;1
1638;5;1967;1
1639;2;1995;154
1639;2;1996;154
1639;2;1997;154
1639;3;1889;473
1639;4;1969;1
1640;3;1892;588
1640;3;1892;589
1641;4;1927;1
1642;2;1948;2
1642;2;1949;2
1642;2;1974;154
1642;2;1976;154
1642;2;1979;154
1642;2;1982;154
1642;2;1988;2
1642;2;1989;2
1642;3;1813;1
1642;3;1822;1
1642;3;1852;1
1643;2;1949;2
1643;3;1948;153
1644;3;1829;1
1645;2;1969;2
1651;4;1987;1
1652;2;1984;2
1652;2;1989;2
1654;4;1900;1
1655;2;1964;2
1655;3;1896;442
1655;3;1897;442
1655;3;1898;442
1655;3;1901;442
1655;4;1952;1
1656;2;1962;2
1656;2;1963;2
1656;3;1896;442
1656;3;1899;442
1657;3;1897;442
1658;3;1895;442
1658;3;1896;442
1658;3;1897;442
1658;3;1901;442
1659;3;1897;442
1660;2;1929;300
1662;4;1935;1
1663;4;1825;1
1663;4;1831;1
1664;4;1957;1
1666;3;1888;1
1666;3;1889;1
1666;3;1908;1
1666;3;1922;300
1668;4;1956;1
1669;3;1869;1
1671;3;1892;142
1671;3;1893;142
1671;3;1895;142
1671;3;1897;26
1671;3;1898;26
1671;3;1901;26
1672;3;1899;26
1672;3;1900;26
1673;3;1894;1
1673;3;1920;1
1674;3;1882;456
1675;3;1937;268
1675;4;1933;1
1676;3;1825;399
1677;3;1897;288
1678;3;1815;1
1678;3;1829;1
1678;3;1936;1
1679;3;1822;1
1679;3;1889;1
1679;3;1890;1
1679;3;1907;125
1679;3;1912;1
1679;4;1984;1
1680;2;1923;2
1680;2;1950;2
1680;2;1955;2
1680;3;1909;2
1680;3;1910;2
1680;4;1829;1
1681;3;1882;1
1683;3;1824;399
1686;2;1950;42
1686;2;1952;42
1686;2;1964;2
1686;5;1952;1
1687;2;1969;2
1687;2;1972;2
1687;2;1973;2
1687;2;1974;2
1687;2;1975;2
1687;2;1976;2
1690;3;1924;301
1690;4;1989;1
1690;4;1991;1
1690;4;1998;1
1691;3;1908;301
1691;3;1909;301
1691;3;1910;301
1691;3;1911;301
1691;3;1912;301
1692;2;1970;2
1692;3;1911;301
1693;4;1911;1
1694;3;1832;346
1695;3;1910;301
1696;3;1867;1
1697;3;1932;1
1698;3;1831;568
1698;3;1910;301
1698;4;1827;1
1698;4;1842;1
1699;3;1906;301
1699;4;1948;1
1701;3;1826;1
1701;4;1883;1
1702;3;1835;1
1703;3;1860;1
1703;3;1933;302
1703;3;1933;303
1704;4;1904;1
1704;4;1959;1
1705;2;1951;440
1705;3;1888;459
1705;3;1889;459
1705;3;1893;459
1706;2;1936;2
1706;3;1888;459
1706;3;1889;459
1707;3;1830;1
1709;3;1836;1
1709;3;1843;1
1709;3;1865;618
1709;3;1866;619
1709;3;1868;619
1710;2;1985;154
1711;3;1935;584
1711;4;1923;584
1712;3;1887;1
1713;2;1997;2
1713;2;1998;2
1713;2;1999;2
1713;3;1928;153
1714;2;1947;2
1714;2;1962;2
1714;2;1964;2
1714;2;1965;2
1714;2;1966;2
1715;4;1821;1
1716;2;1957;2
1717;4;1833;1
1718;2;1974;2
1718;2;1975;2
1718;3;1820;620
1718;5;1977;1
1718;5;1978;1
1719;2;1994;2
1719;2;1995;2
1719;4;1982;1
1719;4;1983;1
1720;4;1984;1
1721;3;1896;288
1721;3;1935;153
1721;4;1914;1
1722;2;1956;2
1722;3;1880;235
1722;3;1886;234
1723;3;1881;235
1723;3;1882;235
1723;3;1886;234
1723;5;1984;1
1723;5;1985;1
1724;4;1985;1
1726;3;1824;1
1726;3;1846;1
1726;3;1911;1
1728;3;1911;257
1729;2;1994;2
1729;4;1993;1
1730;3;1910;254
1730;3;1921;255
1730;3;1925;166
1730;3;1928;256
1731;3;1846;1
1733;3;1830;1
1733;3;1846;1
1734;4;1985;1
1736;3;1911;1
1737;3;1909;236
1737;3;1910;236
1737;5;1935;1
1740;3;1903;1
1740;3;1904;1
1740;3;1908;1
1740;3;1910;1
1740;3;1912;1
1740;3;1913;1
1741;2;1973;2
1741;2;1974;2
1741;3;1850;1
1741;3;1860;1
1742;2;1973;2
1742;3;1907;160
1744;3;1830;1
1745;2;1985;2
1745;2;1986;2
1746;3;1824;1
1746;3;1826;1
1747;3;1815;1
1749;2;1987;1
1749;2;1988;2
1749;2;1989;2
1749;2;1990;2
1750;2;1979;2
1751;2;1987;1
1752;2;1963;2
1752;2;1965;2
1752;2;1980;2
1752;2;1981;2
1752;2;1982;2
1752;2;1983;2
1752;2;1999;2
1753;4;1976;1
1753;4;1977;1
1753;4;1991;1
1753;4;1993;1
1753;4;1994;1
1753;4;1996;1
1753;4;1997;1
1753;4;1998;1
1754;4;1975;1
1754;4;1989;1
1754;4;1991;1
1754;4;1993;1
1754;4;1994;1
1754;4;1995;1
1754;4;1996;1
1754;4;1997;1
1755;4;1907;1
1756;3;1803;7
1756;3;1804;7
1757;3;1890;1
1758;2;1968;2
1758;3;1830;8
1759;3;1927;9
1760;3;1927;9
1761;3;1929;9
1762;3;1965;10
1763;3;1930;3
1764;3;1925;9
1765;3;1953;11
1766;3;1910;12
1768;4;1955;1
1769;2;1930;128
1769;2;1930;680
1770;3;1906;15
1771;3;1886;16
1771;3;1886;504
1771;3;1930;17
1772;3;1937;20
1772;3;1937;564
1773;3;1889;97
1774;2;1959;2
1774;2;1979;2
1774;3;1911;130
1774;3;1913;130
1775;4;1937;1
1776;3;1843;1
1776;3;1848;1
1777;3;1890;98
1777;3;1890;692
1778;3;1904;99
1778;5;1904;1
1779;3;1952;100
1779;3;1970;131
1780;2;1960;2
1780;3;1804;7
1780;3;1804;93
1780;4;1962;1
1781;3;1896;102
1782;4;1962;1
1783;3;1870;103
1785;4;1929;1
1786;2;1931;99
1787;2;1941;20
1788;3;1914;104
1789;3;1772;105
1790;3;1815;105
1790;3;1815;106
1791;3;1913;99
1792;3;1904;672
1792;3;1913;99
1792;3;1953;685
1792;3;1953;686
1792;4;1947;1
1792;4;1977;1
1792;4;1978;1
1793;3;1933;99
1794;4;1808;107
1794;4;1832;1
1795;4;1963;1
1796;3;1829;109
1796;3;1921;15
1797;3;1885;473
1797;3;1939;25
1799;3;1902;112
1799;3;1903;112
1800;3;1888;17
1801;3;1898;113
1801;3;1899;113
1802;3;1923;15
1803;3;1816;1
1803;3;1902;114
1804;3;1907;15
1804;3;1951;25
1804;4;1905;1
1804;4;1906;1
1804;4;1912;1
1804;4;1913;1
1804;4;1914;1
1804;4;1916;1
1804;4;1926;1
1805;3;1885;17
1806;3;1827;1
1806;3;1837;115
1806;3;1837;688
1806;3;1887;116
1806;3;1889;17
1806;3;1893;113
1806;3;1893;117
1806;3;1893;118
1806;3;1893;120
1806;3;1898;113
1806;3;1900;113
1807;3;1915;15
1808;4;1925;1
1809;3;1897;113
1809;3;1905;113
1810;3;1836;6
1811;3;1939;119
1811;3;1939;135
1812;3;1886;120
1813;3;1962;17
1813;3;1969;17
1813;3;1971;17
1814;2;1971;2
1814;3;1977;121
1814;4;1969;1
1815;3;1970;122
1816;2;1975;2
1816;2;1976;2
1816;2;1977;2
1816;4;1991;1
1817;3;1896;112
1817;3;1896;113
1818;3;1903;113
1819;3;1901;36
1820;3;1823;1
1820;3;1877;617
1820;3;1899;1
1820;3;1904;1
1820;4;1995;1
1825;2;1983;2
1825;2;1984;2
1825;2;1986;2
1829;3;1919;15
1829;3;1925;15
1830;3;1863;124
1830;3;1863;689
1830;3;1895;120
1830;3;1929;15
1831;3;1881;6
1832;4;1962;1
1833;3;1836;1
1833;3;1845;133
1833;3;1883;17
1833;4;1967;1
1834;3;1902;125
1834;3;1903;125
1834;3;1911;134
1835;4;1843;1
1836;3;1891;22
1836;3;1893;22
1837;3;1882;116
1837;3;1882;473
1837;3;1882;527
1838;3;1880;127
1838;3;1884;22
1839;3;1893;127
1840;2;1970;2
1840;2;1976;2
1840;2;1990;2
1840;2;1993;2
1840;3;1882;116
1840;3;1935;128
1840;3;1938;135
1840;4;1936;1
1840;4;1989;1
1841;3;1931;1
1842;3;1892;116
1842;3;1964;17
1842;4;1881;1
1842;4;1982;1
1842;4;1983;1
1842;4;1984;1
1842;4;1985;1
1842;4;1986;1
1843;2;1983;2
1843;2;1984;2
1843;2;1985;2
1843;2;1986;2
1843;3;1967;17
1843;4;1991;1
1844;2;1978;17
1844;3;1891;22
1845;3;1889;22
1846;4;1971;1
1847;3;1922;3
1848;4;1876;1
1850;3;1881;3
1850;3;1883;3
1850;3;1884;3
1851;3;1927;3
1852;3;1927;3
1853;3;1904;3
1854;3;1809;136
1854;3;1882;3
1855;3;1882;129
1856;3;1882;3
1857;3;1888;3
1858;3;1805;1
1858;3;1932;3
1858;3;1933;3
1859;3;1712;4
1859;3;1723;5
1859;3;1775;6
1859;3;1879;3
1859;3;1880;3
1859;3;1915;3
1859;3;1922;3
1860;3;1885;3
1860;3;1910;19
1861;3;1892;3
1861;3;1899;3
1861;3;1900;19
1861;3;1902;19
1861;4;1986;1
1861;4;1996;1
1862;3;1896;19
1863;2;1950;21
1864;3;1892;22
1864;3;1893;22
1865;3;1880;3
1867;3;1881;3
1868;2;1972;2
1868;3;1836;1
1868;3;1861;23
1868;3;1866;24
1868;3;1931;25
1868;3;1956;25
1869;3;1882;3
1869;3;1900;19
1873;3;1924;660
1877;3;1900;1
1877;3;1901;1
1881;2;1970;2
1881;2;1977;2
1881;3;1931;658
1881;3;1934;658
1883;3;1897;1
1883;3;1898;1
1884;3;1820;44
1884;3;1821;44
1885;3;1897;707
1887;3;1896;47
1888;3;1885;48
1889;3;1833;49
1889;3;1863;51
1889;3;1881;50
1890;3;1882;52
1891;3;1953;1
1892;3;1850;43
1893;2;1967;2
1893;2;1968;2
1893;2;1974;2
1899;4;1935;1
1900;3;1912;59
1900;3;1915;59
1901;3;1920;59
1909;4;1956;63
1914;4;1931;1
1917;3;1885;40
1917;3;1902;592
1918;3;1860;1
1919;3;1882;48
1919;3;1941;72
1920;4;1930;1
1921;4;1976;1
1922;2;1926;366
1923;3;1926;77
1923;3;1930;78
1927;3;1893;37
1933;2;1974;2
1933;3;1905;48
1933;3;1905;155
1935;2;1973;2
1935;4;1928;1
1935;4;1951;1
1935;4;1960;1
1935;4;1961;1
1935;4;1970;1
1935;4;1971;1
1935;4;1984;2
1936;3;1791;90
1936;4;1970;1
1937;3;1787;90
1937;3;1787;91
1937;3;1789;90
1937;3;1789;91
1938;3;1788;90
1939;3;1789;90
1939;3;1791;90
1940;3;1789;90
1941;4;1789;1
1943;3;1881;3
1945;3;1890;92
1946;2;1982;2
1946;2;1983;2
1947;3;1906;1
1947;3;1924;3
1948;3;1842;1
1948;3;1843;1
1949;2;1975;2
1949;2;1976;2
1949;2;1977;2
1949;2;1978;2
1949;2;1979;2
1949;2;1980;2
1949;2;1981;2
1950;4;1932;1
1951;3;1799;93
1952;3;1832;94
1953;3;1789;90
1954;4;1971;1
1955;2;1925;53
1955;3;1925;95
1956;3;1892;19
1957;3;1896;19
1958;3;1897;19
1958;4;1979;1
1959;4;1923;1
1960;3;1914;137
1960;3;1920;137
1960;4;1893;1
1961;3;1920;137
1962;3;1927;137
1963;3;1816;138
1963;3;1816;139
1963;3;1817;138
1963;3;1817;139
1964;4;1932;137
1965;4;1916;1
1965;4;1931;140
1967;4;1903;1
1968;3;1840;141
1969;4;1898;1
1970;4;1907;137
1971;5;1932;1
1972;3;1923;657
1972;3;1924;657
1972;3;1925;657
1972;4;1938;1
1973;3;1890;48
1973;3;1922;653
1974;4;1952;1
1975;4;1942;1
1979;3;1865;43
1979;3;1888;148
1980;3;1953;1
1981;3;1901;48
1981;3;1901;155
1981;3;1902;48
1981;3;1902;155
1982;4;1930;1
1982;4;1932;1
1982;4;1939;1
1982;4;1949;1
1982;4;1985;1
1983;3;1899;149
1983;3;1900;149
1983;3;1900;708
1983;3;1901;149
1983;3;1901;708
1984;3;1913;150
1984;3;1913;151
1985;3;1880;152
1988;3;1908;155
1989;3;1827;49
1989;3;1828;49
1990;3;1829;49
1990;4;1938;1
1991;2;1959;2
1991;3;1904;48
1991;3;1905;48
1992;2;1929;2
1992;2;1950;2
1992;2;1951;2
1992;2;1952;2
1992;2;1953;2
1992;2;1954;2
1992;2;1955;2
1992;2;1956;2
1992;2;1957;2
1992;2;1958;2
1992;3;1913;48
2001;2;1976;2
2002;3;1920;1
2002;3;1930;1
2002;3;1931;112
2003;3;1905;663
2012;3;1925;1
2012;3;1935;165
2013;4;1929;1
2013;4;1934;1
2014;3;1915;166
2014;4;1914;1
2015;4;1900;1
2017;3;1932;20
2018;3;1932;137
2018;4;1931;1
2019;4;1873;1
2021;3;1896;167
2022;2;1965;2
2022;2;1967;2
2022;3;1878;1
2023;3;1890;167
2025;4;1904;168
2025;4;1915;168
2026;3;1791;169
2026;3;1791;170
2026;3;1832;171
2026;3;1897;167
2027;3;1890;167
2027;4;1963;1
2027;4;1965;1
2028;3;1890;167
2029;3;1900;172
2029;3;1909;166
2030;4;1913;1
2031;2;1949;2
2031;2;1951;2
2031;3;1882;173
2031;3;1935;20
2032;5;1888;174
2033;3;1845;1
2036;4;1944;1
2037;2;1981;2
2042;3;1830;182
2042;3;1834;182
2042;3;1878;48
2042;3;1891;48
2042;3;1892;48
2042;3;1896;48
2042;3;1896;155
2042;3;1896;183
2042;3;1897;48
2057;3;1876;1
2059;2;1957;2
2060;1;1964;2
2060;1;1965;2
2060;1;1966;2
2060;1;1967;2
2060;1;1968;2
2060;1;1969;2
2060;1;1970;2
2060;1;1971;2
2060;1;1972;2
2060;1;1973;2
2060;1;1974;2
2060;1;1975;2
2060;2;1962;2
2060;4;1960;1
2060;4;1961;1
2061;3;1897;192
2062;4;1902;1
2062;4;1955;1
2065;4;1954;1
2065;4;1965;1
2066;2;1980;2
2066;3;1864;193
2066;4;1979;1
2069;3;1906;196
2069;3;1907;194
2069;3;1907;195
2069;3;1908;195
2069;5;1916;1
2070;3;1831;197
2070;3;1925;17
2071;3;1860;198
2071;3;1861;198
2071;3;1862;198
2072;5;1934;1
2073;3;1878;199
2073;3;1901;196
2073;3;1910;201
2073;3;1929;200
2074;4;1966;1
2074;4;1985;1
2075;3;1912;1
2076;3;1885;204
2076;3;1906;203
2076;5;1900;202
2077;3;1892;205
2077;3;1892;206
2077;3;1892;207
2077;3;1893;205
2077;3;1893;206
2077;3;1893;207
2077;3;1899;112
2077;3;1900;112
2077;3;1902;112
2077;3;1904;208
2077;3;1907;208
2078;3;1903;203
2078;3;1904;15
2078;3;1904;112
2078;3;1904;113
2079;3;1904;209
2079;3;1934;210
2079;3;1934;211
2080;5;1892;167
2081;3;1890;1
2082;3;1890;212
2083;4;1857;1
2089;4;1944;1
2095;3;1884;48
2096;3;1881;1
2097;3;1903;48
2098;2;1980;2
2101;2;1960;1
2101;2;1961;1
2101;3;1864;216
2111;3;1905;208
2111;3;1906;208
2111;5;1900;1
2112;5;1891;167
2113;4;1884;1
2114;4;1900;1
2117;2;1955;2
2118;5;1891;167
2119;5;1894;167
2121;2;1951;1
2133;2;1938;232
2133;3;1877;48
2133;3;1881;48
2133;3;1882;48
2135;5;1890;167
2136;3;1902;237
2137;3;1883;117
2137;4;1988;1
2138;5;1889;167
2139;3;1883;117
2139;4;1873;1
2139;4;1985;1
2140;3;1885;117
2141;3;1885;117
2141;3;1901;117
2142;5;1892;167
2142;5;1894;167
2143;3;1887;117
2144;3;1886;117
2146;3;1887;117
2147;2;1975;2
2147;4;1985;1
2147;4;1993;1
2149;5;1890;167
2149;5;1891;167
2150;5;1891;167
2151;4;1935;1
2151;5;1885;174
2152;3;1906;203
2152;4;1989;1
2152;4;1990;1
2152;5;1897;167
2154;3;1885;117
2154;3;1886;1
2155;5;1889;167
2155;5;1891;167
2156;3;1870;1
2156;5;1893;167
2156;5;1894;167
2157;4;1896;1
2157;4;1897;1
2159;5;1891;202
2159;5;1893;202
2159;5;1894;202
2159;5;1897;202
2160;5;1893;167
2164;5;1891;167
2164;5;1894;167
2165;5;1891;167
2166;4;1910;1
2170;3;1887;239
2173;3;1886;117
2173;5;1890;167
2174;5;1892;167
2178;3;1894;47
2180;3;1900;47
2182;2;1969;2
2187;4;1935;1
2188;2;1954;2
2189;3;1904;245
2190;2;1953;2
2190;3;1886;48
2191;3;1911;1
2192;2;1954;2
2192;3;1866;499
2194;3;1900;246
2194;3;1902;247
2194;4;1980;1
2195;3;1914;223
2213;3;1885;117
2214;4;1881;1
2215;4;1881;1
2215;5;1891;167
2215;5;1892;167
2216;3;1887;117
2222;2;1991;2
2222;2;1992;2
2222;2;1993;2
2222;2;1994;2
2222;2;1998;2
2222;4;1989;1
2222;5;1885;174
2222;5;1972;1
2226;3;1884;117
2226;5;1889;167
2228;4;1951;1
2230;4;1875;1
2231;3;1899;125
2231;3;1899;192
2231;3;1899;261
2231;3;1899;262
2231;3;1901;125
2232;3;1899;261
2233;2;1951;2
2233;3;1834;195
2234;3;1840;1
2234;3;1887;40
2235;3;1911;155
2236;3;1903;223
2236;3;1904;223
2245;2;1935;268
2245;4;1936;1
2246;3;1892;269
2246;3;1909;237
2247;3;1805;270
2247;4;1937;1
2247;4;1951;1
2247;4;1955;1
2247;4;1959;1
2248;4;1863;1
2248;4;1956;1
2249;2;1991;2
2249;4;1872;1
2250;3;1909;166
2251;4;1868;1
2252;4;1876;1
2252;4;1994;1
2253;4;1923;1
2255;2;1953;2
2257;4;1934;1
2258;4;1937;1
2260;5;1892;167
2260;5;1967;1
2262;4;1934;1
2263;2;1954;2
2264;2;1978;2
2264;3;1860;271
2265;3;1832;272
2266;5;1892;167
2267;3;1914;166
2268;2;1988;2
2269;3;1907;36
2270;3;1894;37
2271;4;1951;1
2272;3;1903;48
2282;3;1913;166
2283;4;1885;1
2286;3;1894;167
2286;5;1890;167
2286;5;1891;167
2286;5;1892;167
2286;5;1893;167
2287;5;1890;167
2288;5;1894;167
2288;5;1896;167
2289;4;1886;1
2290;3;1845;1
2292;4;1954;1
2293;3;1894;277
2294;3;1897;278
2295;3;1756;1
2296;3;1973;279
2296;4;1934;1
2297;3;1809;280
2297;3;1898;278
2297;3;1906;281
2297;3;1917;166
2297;3;1918;277
2297;3;1938;20
2297;3;1938;165
2297;4;1918;1
2297;5;1937;1
2298;4;1896;1
2298;4;1955;1
2299;2;1951;2
2300;2;1951;2
2301;3;1907;15
2302;3;1904;278
2302;3;1904;282
2302;4;1909;1
2302;4;1961;1
2303;3;1914;166
2304;3;1916;15
2304;3;1916;166
2305;3;1892;277
2305;3;1893;277
2305;3;1900;278
2307;3;1856;80
2309;2;1939;1
2313;3;1886;48
2313;3;1886;286
2313;5;1980;1
2315;3;1906;1
2315;3;1906;15
2316;3;1893;277
2317;3;1893;277
2317;3;1905;278
2317;3;1906;281
2317;3;1907;281
2318;2;1951;2
2319;3;1934;268
2319;4;1932;1
2319;4;1934;137
2320;3;1891;277
2321;4;1924;1
2322;3;1918;166
2323;3;1893;278
2323;3;1893;287
2323;3;1894;277
2324;4;1912;1
2325;4;1866;1
2326;3;1899;674
2327;3;1886;473
2328;3;1903;112
2328;4;1981;1
2328;4;1982;1
2329;3;1905;36
2333;3;1884;48
2336;4;1934;1
2336;4;1935;1
2337;4;1934;1
2338;4;1949;1
2339;4;1927;1
2340;3;1864;216
2341;2;1988;2
2341;2;1989;2
2341;2;1990;2
2341;2;1991;2
2341;3;1900;168
2341;3;1902;168
2341;3;1903;168
2341;3;1904;168
2341;3;1905;168
2341;3;1906;168
2341;3;1907;168
2341;3;1908;168
2341;3;1909;168
2341;3;1910;168
2341;3;1912;168
2341;3;1913;168
2341;3;1914;168
2341;3;1915;168
2341;3;1916;168
2341;3;1917;168
2341;3;1924;290
2341;3;1926;166
2342;2;1991;2
2342;3;1900;168
2342;3;1901;168
2342;3;1902;168
2342;3;1903;168
2342;3;1905;168
2342;3;1906;168
2342;3;1907;168
2342;3;1908;168
2342;3;1910;168
2342;3;1912;168
2342;3;1913;168
2342;3;1915;168
2343;2;1978;2
2343;2;1981;2
2343;3;1899;168
2343;3;1900;168
2343;3;1902;168
2343;3;1904;168
2343;3;1905;168
2343;3;1906;168
2343;3;1909;168
2343;3;1930;291
2345;3;1902;168
2345;3;1905;168
2345;3;1906;168
2345;3;1908;168
2346;3;1907;168
2346;3;1909;168
2348;3;1881;292
2348;3;1885;292
2349;4;1936;1
2366;2;1983;2
2366;2;1994;2
2366;3;1907;301
2366;3;1908;301
2366;5;1902;1
2367;3;1903;654
2367;3;1904;655
2367;3;1904;656
2367;4;1953;1
2368;2;1941;2
2368;2;1989;2
2368;4;1935;1
2369;2;1971;2
2369;2;1972;2
2369;2;1990;2
2374;2;1953;1
2374;2;1954;1
2374;2;1956;1
2374;2;1957;1
2375;4;1901;1
2375;4;1979;1
2378;5;1951;1
2379;3;1880;307
2380;3;1845;706
2380;3;1899;707
2381;2;1972;2
2384;2;1972;2
2384;2;1975;2
2384;3;1896;47
2387;3;1837;598
2387;3;1838;598
2387;3;1839;598
2387;3;1868;156
2388;3;1837;598
2388;5;1930;1
2391;2;1976;2
2391;2;1993;2
2391;2;1994;2
2391;3;1880;48
2394;4;1933;1
2395;3;1938;1
2402;3;1884;1
2406;3;1870;313
2407;4;1905;1
2408;3;1900;1
2409;3;1910;339
2410;2;1950;343
2410;4;1900;1
2410;4;1912;1
2410;4;1928;1
2411;3;1830;341
2411;3;1873;465
2412;3;1872;465
2414;2;1946;343
2414;2;1946;344
2414;3;1837;598
2414;3;1945;112
2414;5;1971;1
2416;2;1914;31
2417;3;1880;48
2417;4;1845;1
2422;3;1921;349
2425;3;1900;351
2425;3;1901;351
2425;3;1909;1
2426;4;1935;1
2428;3;1910;342
2429;4;1950;1
2430;3;1842;353
2430;3;1880;352
2430;3;1890;342
2434;4;1901;1
2434;4;1964;1
2435;4;1908;1
2438;2;1926;2
2438;2;1927;2
2438;2;1931;2
2438;2;1935;2
2438;2;1936;2
2438;2;1939;2
2439;2;1987;2
2441;4;1934;1
2450;2;1978;2
2454;4;1939;1
2455;3;1903;155
2455;3;1904;155
2456;3;1937;364
2457;4;1936;1
2459;3;1882;365
2459;3;1886;149
2460;2;1986;2
2460;3;1884;48
2460;3;1884;149
2460;3;1884;365
2460;3;1885;149
2460;3;1885;365
2460;4;1862;1
2464;2;1938;366
2465;3;1883;606
2465;3;1885;40
2465;3;1886;37
2469;3;1883;48
2470;2;1966;2
2470;2;1975;2
2470;2;1976;2
2470;3;1850;1
2471;4;1888;1
2472;2;1950;2
2475;3;1901;316
2475;3;1902;316
2476;3;1894;1
2477;2;1939;1
2477;2;1940;1
2481;4;1902;1
2482;3;1928;597
2495;2;1953;2
2495;4;1939;1
2504;3;1861;669
2504;3;1861;670
2504;3;1886;48
2504;4;1980;1
2508;4;1972;1
2510;4;1944;1
2511;4;1954;1
2512;3;1894;73
2512;3;1894;408
2512;3;1897;48
2512;3;1900;409
2513;3;1910;410
2514;3;1820;221
2514;3;1900;224
2515;2;1972;2
2515;4;1960;1
2516;3;1872;1
2518;3;1911;416
2518;3;1912;416
2518;4;1850;1
2520;4;1936;1
2520;4;1937;1
2521;4;1934;1
2522;3;1925;1
2524;3;1913;166
2524;3;1919;99
2526;2;1974;2
2534;4;1906;1
2535;3;1905;323
2537;3;1924;1
2538;4;1860;1
2538;4;1901;1
2539;3;1894;292
2540;4;1838;1
2541;4;1935;1
2542;3;1902;323
2542;3;1910;99
2542;3;1910;166
2542;3;1911;99
2542;3;1912;99
2543;3;1881;418
2544;3;1891;1
2546;3;1838;1
2546;3;1909;166
2546;3;1909;432
2546;3;1911;432
2551;3;1928;437
2551;3;1928;438
2551;4;1983;1
2551;4;1984;1
2551;4;1985;1
2553;4;1939;1
2554;2;1939;2
2555;2;1982;2
2555;2;1983;2
2555;4;1982;1
2559;4;1965;1
2576;2;1970;2
2576;3;1950;449
2577;4;1922;1
2625;3;1842;1
2632;3;1882;474
2632;3;1909;432
2633;3;1938;644
2634;2;1985;2
2634;3;1913;1
2634;4;1932;1
2634;4;1979;1
2635;2;1935;2
2635;2;1985;2
2635;3;1918;477
2636;2;1968;475
2636;3;1931;475
2637;4;1950;1
2637;4;1952;1
2638;3;1845;476
2639;3;1920;477
2641;3;1913;1
2643;3;1812;652
2645;3;1834;1
2645;3;1864;479
2647;4;1925;1
2648;4;1930;1
2648;4;1936;1
2648;4;1939;1
2649;3;1908;480
2650;3;1865;481
2650;3;1911;166
2650;3;1911;432
2651;3;1912;432
2652;3;1877;474
2652;3;1878;474
2652;3;1902;432
2652;3;1912;166
2653;2;1996;2
2653;3;1912;482
2657;4;1962;1
2658;3;1854;1
2659;3;1906;483
2659;5;1904;1
2660;3;1905;432
2660;3;1906;483
2660;5;1900;484
2660;5;1904;484
2661;3;1906;125
2661;3;1906;485
2662;3;1829;486
2662;3;1878;489
2662;3;1886;487
2662;3;1886;488
