"Fundplatz";"Gebiet"
1320,00;5,00
1328,00;6,00
1511,00;6,00
2408,00;6,00
1482,00;6,00
2536,00;6,00
1488,00;6,00
1489,00;6,00
1490,00;6,00
1462,00;5,00
1496,00;6,00
1322,00;5,00
1417,00;5,00
1415,00;5,00
1416,00;5,00
2540,00;5,00
1414,00;5,00
1418,00;5,00
1387,00;6,00
1389,00;6,00
1385,00;6,00
1391,00;6,00
2531,00;6,00
1382,00;6,00
1380,00;6,00
1349,00;6,00
1441,00;6,00
1425,00;6,00
1426,00;6,00
2525,00;6,00
1358,00;5,00
2544,00;6,00
1497,00;6,00
1484,00;6,00
1530,00;6,00
1288,00;6,00
1400,00;5,00
1399,00;5,00
1290,00;6,00
1293,00;6,00
3056,00;6,00
2406,00;6,00
1465,00;6,00
1286,00;6,00
1285,00;6,00
1284,00;6,00
2407,00;6,00
1392,00;6,00
1402,00;5,00
1442,00;6,00
1457,00;6,00
1270,00;6,00
1500,00;6,00
1519,00;6,00
1520,00;6,00
1521,00;6,00
1525,00;6,00
1309,00;6,00
1310,00;6,00
1311,00;6,00
1263,00;6,00
1261,00;6,00
1257,00;6,00
1312,00;6,00
1333,00;6,00
1332,00;6,00
1449,00;6,00
1472,00;6,00
1479,00;6,00
2543,00;6,00
1475,00;6,00
1509,00;6,00
1474,00;6,00
1538,00;6,00
2524,00;6,00
1536,00;6,00
1537,00;6,00
1435,00;6,00
1463,00;5,00
1383,00;6,00
1539,00;6,00
1543,00;6,00
1544,00;6,00
1277,00;6,00
1282,00;6,00
1345,00;6,00
1344,00;6,00
1451,00;6,00
2535,00;6,00
1346,00;6,00
1384,00;6,00
1339,00;6,00
1456,00;6,00
1523,00;6,00
1255,00;6,00
1264,00;6,00
1254,00;6,00
1256,00;6,00
3097,00;6,00
1299,00;6,00
1361,00;6,00
1265,00;6,00
1359,00;5,00
1296,00;6,00
3039,00;6,00
1386,00;6,00
1464,00;6,00
1436,00;6,00
1455,00;6,00
1454,00;6,00
1453,00;6,00
1452,00;6,00
1305,00;6,00
1336,00;6,00
1335,00;6,00
1334,00;6,00
1375,00;6,00
1337,00;6,00
1338,00;6,00
1376,00;6,00
1485,00;6,00
1279,00;6,00
1476,00;6,00
1365,00;6,00
2533,00;6,00
1366,00;6,00
1582,00;10,00
1651,00;11,00
1717,00;2,00
1653,00;11,00
1652,00;11,00
1673,00;11,00
1674,00;11,00
1583,00;10,00
1687,00;11,00
1659,00;11,00
1658,00;11,00
1657,00;11,00
1656,00;11,00
1655,00;11,00
1654,00;11,00
1660,00;11,00
1675,00;11,00
1589,00;10,00
1585,00;10,00
1586,00;10,00
1584,00;10,00
1588,00;10,00
1587,00;10,00
1590,00;10,00
1624,00;11,00
1625,00;11,00
1757,00;10,00
1758,00;10,00
1592,00;10,00
1593,00;10,00
1677,00;11,00
1676,00;11,00
1595,00;10,00
1594,00;10,00
1596,00;10,00
1565,00;11,00
1564,00;11,00
1567,00;11,00
1570,00;11,00
2476,00;11,00
1566,00;11,00
1626,00;11,00
1719,00;11,00
1629,00;11,00
1628,00;11,00
1663,00;11,00
1690,00;11,00
1693,00;11,00
1691,00;11,00
2450,00;11,00
1692,00;11,00
1598,00;10,00
1600,00;10,00
1599,00;10,00
1664,00;10,00
1665,00;10,00
1733,00;11,00
1726,00;11,00
1727,00;11,00
1631,00;11,00
1820,00;11,00
1694,00;11,00
1695,00;11,00
1696,00;11,00
1697,00;11,00
1716,00;11,00
1571,00;11,00
1572,00;11,00
1574,00;11,00
1573,00;11,00
1633,00;11,00
1632,00;11,00
1635,00;11,00
1634,00;11,00
1636,00;11,00
1698,00;11,00
1699,00;11,00
1703,00;11,00
1701,00;11,00
1702,00;11,00
1637,00;11,00
1678,00;11,00
2366,00;11,00
1666,00;11,00
1706,00;11,00
1704,00;11,00
1705,00;11,00
1720,00;11,00
1721,00;11,00
1668,00;10,00
1669,00;10,00
1603,00;10,00
1718,00;11,00
1680,00;11,00
1679,00;11,00
1605,00;10,00
1606,00;10,00
1604,00;10,00
1607,00;10,00
1608,00;10,00
3051,00;10,00
1609,00;10,00
1610,00;10,00
1611,00;10,00
1728,00;11,00
1729,00;11,00
1707,00;11,00
1730,00;11,00
1734,00;11,00
1731,00;11,00
1681,00;11,00
1638,00;11,00
1612,00;10,00
1613,00;10,00
3084,00;10,00
1640,00;11,00
1639,00;11,00
1735,00;11,00
1722,00;11,00
1575,00;11,00
1615,00;11,00
1614,00;11,00
3094,00;13,00
1682,00;11,00
1576,00;11,00
1577,00;11,00
1578,00;11,00
1723,00;11,00
1724,00;11,00
2441,00;11,00
1579,00;11,00
1641,00;11,00
1741,00;11,00
1742,00;11,00
