"Literaturnummer";"Grabkomplexnummer";"Seitenzahl";"Katalognummer";"Abbildung"
9289;1292;"155";"Hügel 3";
9289;1307;"155";"Hügel 4";
9289;2934;"155";;
9290;2933;"212f.";"Hügel 1";
9291;2988;"144";"Grab 2";
9292;1132;"78f.";;
9292;1165;"68ff.";;
9292;1170;"73";;
9292;1188;"83f.";;
9292;1206;"67f.";;
9292;1218;"34";"Hügel 12";
9292;1315;"34f.";"Hügel 5";
9292;1332;"33";"Hügel 7";
9292;2985;"80";;
9293;2986;;;"Abb. 176"
9294;1287;"40f.";"Hügel 3";
9296;2987;"243ff.";;
9301;1367;;;
9302;1098;"29";;
9303;1120;"53";"Hügel 1";
9303;1234;"45f.";;
9303;1246;"55ff.";;
9303;1301;"53";;
9303;3137;"48";"II-III";
9304;2993;"305";"Grab 1";
9304;3018;"300ff.";;
9306;1179;"154";"Grab V";
9306;1232;"50";;
9307;1205;"42";"Grab I";
9307;1263;"42";"Grab II";
9309;3019;"114f.";"Hügel 1";
9309;3020;"115f.";"Hügel 4";
9309;3021;"116f.";"Hügel 5";
9310;1106;"23f.";"Hügel 1";
9310;3015;"24f.";"Hügel 2";
9311;3001;"21f.";"Hügel I";"Plan 2"
9311;3016;"25f.";"Hügel II";
9311;3017;"26f.";"Hügel III";
9312;3002;"14ff.";;"Plan 3"
9314;3005;"56f.";;
9315;3012;"50";;
9317;1253;;;
9318;1108;"1ff.";"Hügel V";
9320;2543;"222f. Abb. 4";;
9322;1002;"16f.";;
9322;2996;"17";"Grab I";
9323;3019;"92ff.";"Grab I";
9323;3020;"96f.";"Grab IV";"S. 96"
9323;3021;"97f.";"Grab V";
9327;3037;"211ff.";"Grab 1";
9328;3137;"409ff.";;
9329;1189;"70f.";"Grabstätte I";
9329;1261;"71f.";"Grabstätte II";
9329;1295;"73";"Grabstätte III";
9333;1372;;;"Abb. 26"
9335;1144;"44f.";;
9336;1140;"47";;
9343;3138;"18ff.";"1";
9373;2961;;"Hügel 3";
9374;3160;;"Hügel 46";
9374;3161;"147";;
9375;3175;"25";"Brandgrubengrab 55";
9375;3178;"24";"Brandgrubengrab 14";"Abb. 18"
9385;3190;"57ff.";;
9394;2672;;;
9404;3204;"84f.";"Fst. XIII/1936";"Abb. 2"
9404;3205;"85";"Fst. XIV/1936";
9404;3206;"86";"Fst. XV/1936";
9411;3114;"55ff.";"260";
9411;3115;"7ff.";"200";"Taf. 19"
9411;3139;"17f.";"208";
9411;3140;"15";"206";
9411;3141;"9f.";"202";
9411;3142;"22f.";"213";
9411;3144;"25ff.";"217";
9411;3145;"10f.";"203";
9411;3146;"12ff.";"205/1";
9411;3147;"37f.";"231";
9411;3148;"23f.";"214";
9411;3150;"35f.";"229";
9411;3209;"6 (Kat.)";"199";
9411;3210;"16f.";"207";
9411;3211;"18ff.";"209";
9411;3212;"20f.";"210";
9411;3213;"21f.";"211";
9411;3214;"24f.";"216";
9411;3215;"27f.";"218";
9411;3216;"30f.";"222";
9411;3217;"31f.";"223";
9411;3218;"34f.";"228";
9411;3219;"36f.";"230";
9411;3220;"38f.";"232";
9411;3221;"40";"233";
9411;3222;"40f.";"234";
9411;3223;"42";"236";
9411;3224;"42f.";"237";
9411;3225;"44";"239";
9411;3226;"47f.";"247";
9411;3227;"48";"248";
9411;3228;"50f.";"251";
9411;3229;"51";"252";
9411;3230;"51";"253";
9411;3231;"58f.";"262";
9418;3232;"324";"330/3";
9418;3233;"319";"Obj. 83";
9418;3234;"320";"Obj. 11";
9418;3235;"373";"Obj. 1";
9418;3236;"373";"Obj. 2";
9418;3237;"373f.";"Obj. 9";
